calib_targets,sector
ef_lvst_entferm_cattle_nondairy_kg_ch4_head,AFOLU
ef_lvst_entferm_goats_kg_ch4_head,AFOLU
elasticity_agrc_tubers_demand_to_income,AFOLU
ef_frst_sequestration_mangroves_kt_co2_ha,AFOLU
ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha,AFOLU
avgmass_lvst_animal_sheep_kg,AFOLU
elasticity_lvst_cattle_dairy_demand_to_gdppc,AFOLU
qty_lsmm_nitrogen_in_bedding_kg_per_head_deep_bedding,AFOLU
ef_soil_c_cultivated_organic_temperate_crop_grass_tonne_per_ha,AFOLU
pij_calib,AFOLU
efficfactor_entc_technology_fuel_use_pp_biogas,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_biomass,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_coal,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_gas,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_geothermal,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_hydropower,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_nuclear,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_ocean,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_oil,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_solar,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_waste_incineration,ElectricEnergy
efficfactor_entc_technology_fuel_use_pp_wind,ElectricEnergy
efficfactor_entc_technology_fuel_use_st_batteries,ElectricEnergy
